# Timestamp(ns);gear_cmd;accelerator_cmd;brake_cmd
1687076054194281216.000000;1.000000;-5.263158;0.000000
1687076054250525952.000000;1.000000;-5.263158;0.000000
1687076054271960320.000000;1.000000;-5.263158;0.000000
1687076054331070208.000000;1.000000;-5.263158;0.000000
1687076054391059200.000000;1.000000;-5.263158;0.000000
1687076054430697728.000000;1.000000;-5.263158;0.000000
1687076054491453952.000000;1.000000;-5.263158;0.000000
1687076054551182336.000000;1.000000;-5.263158;0.000000
1687076054572287488.000000;1.000000;-5.263158;0.000000
1687076054631017472.000000;1.000000;-5.263158;0.000000
1687076054670864128.000000;1.000000;-5.263158;0.000000
1687076054730491392.000000;1.000000;-5.263158;0.000000
1687076054771603456.000000;1.000000;-5.263158;0.000000
1687076054831196672.000000;1.000000;-5.263158;0.000000
1687076054870919680.000000;1.000000;-5.263158;0.000000
1687076054930863872.000000;1.000000;-5.263158;0.000000
1687076054971407104.000000;1.000000;-5.263158;0.000000
1687076055030771968.000000;1.000000;-5.263158;0.000000
1687076055091686912.000000;1.000000;-5.263158;0.000000
1687076055130759168.000000;1.000000;-5.263158;0.000000
1687076055191090944.000000;1.000000;-5.263158;0.000000
1687076055250967296.000000;1.000000;-5.263158;0.000000
1687076055313144064.000000;1.000000;-5.263158;0.000000
1687076055330459136.000000;1.000000;-5.263158;0.000000
1687076055370754048.000000;1.000000;-5.263158;0.000000
1687076055431592704.000000;1.000000;-5.263158;0.000000
1687076055473462528.000000;1.000000;-5.263158;0.000000
1687076055512414720.000000;1.000000;-5.263158;0.000000
1687076055570731520.000000;1.000000;-5.263158;0.000000
1687076055631544320.000000;1.000000;-5.263158;0.000000
1687076055690655488.000000;1.000000;-5.263158;0.000000
1687076055730832640.000000;1.000000;-5.263158;0.000000
1687076055770925824.000000;0.000000;-5.263158;0.000000
1687076055831593216.000000;0.000000;-5.263158;0.000000
1687076055871801856.000000;0.000000;-5.263158;0.000000
1687076055931973120.000000;0.000000;-5.263158;0.000000
1687076055971174400.000000;0.000000;-5.263158;0.000000
1687076056031350784.000000;0.000000;-5.263158;0.000000
1687076056112230912.000000;0.000000;-5.263158;0.000000
1687076056131388672.000000;0.000000;-5.263158;0.000000
1687076056191425024.000000;0.000000;-5.263158;0.000000
1687076056252334336.000000;0.000000;-5.263158;0.000000
1687076056270562816.000000;0.000000;-5.263158;0.000000
1687076056330671872.000000;0.000000;-5.263158;0.000000
1687076056370842112.000000;0.000000;-5.263158;0.000000
1687076056431800832.000000;0.000000;-5.263158;0.000000
1687076056476795392.000000;0.000000;-5.263158;0.000000
1687076056531204608.000000;0.000000;-5.263158;0.000000
1687076056591345920.000000;0.000000;-5.263158;0.000000
1687076056633764352.000000;0.000000;-5.263158;0.000000
1687076056670681856.000000;0.000000;-5.263158;0.000000
1687076056731534336.000000;0.000000;-5.263158;0.000000
1687076056813837056.000000;0.000000;-5.263158;0.000000
1687076056831411712.000000;0.000000;-5.263158;0.000000
1687076056890988544.000000;0.000000;-5.263158;0.000000
1687076056951521280.000000;0.000000;-5.263158;0.000000
1687076056990966528.000000;0.000000;-5.263158;0.000000
1687076057051576832.000000;0.000000;-5.263158;0.000000
1687076057113037056.000000;0.000000;-5.263158;0.000000
1687076057132140032.000000;0.000000;-5.263158;0.000000
1687076057191472384.000000;0.000000;-5.263158;0.000000
1687076057230967552.000000;0.000000;-5.263158;0.000000
1687076057273389312.000000;0.000000;-5.263158;0.000000
1687076057333681152.000000;0.000000;-5.263158;0.000000
1687076057412029440.000000;0.000000;-5.263158;0.000000
1687076057431507712.000000;0.000000;-5.263158;0.000000
1687076057490931968.000000;0.000000;-5.263158;0.000000
1687076057530911232.000000;0.000000;-5.263158;0.000000
1687076057572176128.000000;0.000000;-5.263158;0.000000
1687076057631634176.000000;0.000000;-5.263158;0.000000
1687076057691918336.000000;0.000000;-5.263158;0.000000
1687076057752894720.000000;0.000000;-5.263158;0.000000
1687076057770956288.000000;0.000000;-5.263158;0.000000
1687076057830763008.000000;0.000000;-5.263158;0.000000
1687076057871799040.000000;0.000000;-5.263158;0.000000
1687076057931217408.000000;0.000000;-5.263158;0.000000
1687076057991767808.000000;0.000000;-5.263158;0.000000
1687076058051758336.000000;0.000000;-5.263158;0.000000
1687076058112605184.000000;0.000000;-5.263158;0.000000
1687076058151424512.000000;0.000000;-5.263158;0.000000
1687076058212264448.000000;0.000000;-5.263158;0.000000
1687076058251063040.000000;0.000000;-5.263158;0.000000
